apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
0-adyia.tatbit.haml.jadid.pcap,779,463290,10,0,0,517,262,368,119234,411,344056,2.89,62,1278,324.01,837.12,0,1470,1500,0.9,0,0.07,0.32,0.08,57.05,67.83,0.67,0,788.1,0,0
0-air.ajazgames.escapemorningalarm.pcap,6,491,4,0,0,2,4,6,491,4,356,0.73,89,89,81.83,89,0.01,89,89,1.5,0,0,2,0.25,53,0.25,1,0.25,1,0.25,0
0-air.br.com.megajogos.mobile.pcap,22,5168,0,0,0,22,0,12,2961,10,2207,0.75,68,69.5,246.75,220.7,0,1470,1470,1.2,0.05,0,0.64,0.25,212.27,0.25,0.55,0.25,177.45,0.25,0
0-air.br.com.megajogos.mobile.pcap,31,13790,2,0,0,51,2,14,10401,16,3321,0.32,1035.5,56,742.93,207.56,0,1470,1185,0.88,0.02,0.03,0.82,1,866.64,1,1,1,267.55,1,0
0-air.br.com.megajogos.mobile.pcap,1143,906980,22,0,0,1172,22,486,49205,697,864545,17.57,52,1470,101.24,1240.38,0,1470,2888,0.7,0,0,0.31,0.05,26.51,0.05,0.63,0.05,854.9,0.05,0
0-air.bravat.pcap,64,11707,12,4,0,52,12,34,4772,30,6935,1.45,58,85,140.35,231.17,0.01,694,1500,1.13,0.02,0,0.48,0.08,101.93,0.08,0.38,0.08,73.28,0.08,0
0-air.bullstudios.mynewbornfarmadventures.pcap,302,64548,14,5,0,252,50,156,31638,146,32910,1.04,60,76,202.81,225.41,0,1274,1500,1.07,0,0,0.25,0.02,89.41,0.02,0.31,0.02,106.55,0.02,0
0-air.co.catsup.pcap,15,1001,2,0,0,13,2,7,489,8,512,1.05,76,52,69.86,64,0.01,98,132,0.88,0.05,0,0.67,0.5,31.33,0.5,0.83,0.5,32.83,0.5,0
0-air.com.compasspub.EssentialEnglishWords2nd3.pcap,1323,921320,26,6,0,1297,26,671,46608,652,874712,18.77,52,1500,69.46,1341.58,0,1095,2948,1.03,0,0.1,1.37,0.04,82.51,0.04,1.37,0.04,1983.88,0.04,0
0-air.com.compasspub.EssentialEnglishWords2nd3.pcap,5363,4263895,46,15,0,5276,107,2461,173065,2901,4090747,23.64,52,1470,70.32,1410.12,0,1278,2948,0.85,0.05,0,0.86,0.01,56.07,0.01,1.12,0.01,1650.37,0.01,0
0-air.com.eightgames.SciFiShipEscape.pcap,16,2178,0,0,0,16,0,7,932,9,1246,1.34,83,90,133.14,138.44,0.01,433,347,0.78,0,0.01,0.71,0.01,106.57,0.01,0.86,0.01,108,0.01,0
0-air.com.funacy.seryrunway.pcap,966,531041,38,2,0,804,162,476,76004,490,455037,5.99,52,1278,159.67,928.65,0,1470,2888,0.97,0.05,0,0.43,0.01,72.07,0.39,0.48,0.01,592.58,0.01,0
0-air.com.games4king.HomemakerRescueGameBestEscapeGame234.pcap,115,39411,10,0,0,24,91,67,24736,60,16511,0.67,105,150.5,369.19,275.18,0,1278,1500,1.12,0.04,0,0.33,0.05,56.8,7.24,0.4,0.01,266.07,0.01,0
0-air.com.innogames.grepolis.pcap,193,62610,14,0,0,179,14,101,18420,92,44190,2.4,52,116.5,182.38,480.33,0,1369,1500,1.1,0.03,0,0.48,0.07,62.68,0.07,0.51,0.07,361.67,0.07,0
