apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
1-ace.droid.expenses2.pcap,5551,952978,32,509,0,5400,151,2842,577943,2711,375843,0.65,60.0,52,203.36,138.64,0.01,4252,2852,1.05,0.03,0.00,0.38,0.04,132.84,11.43,0.34,0.01,63.48,0.01,1
1-adam.power.mosquito.repellent.pcap,2021,775720,35,32,0,1745,275,1093,342858,944,434678,1.27,60,64.0,313.69,460.46,0.0,4252,2948,1.16,0.00,0.00,0.27,0.02,83.21,1.32,0.26,0.0,197.75,0.0,1
1-adworldwide.avenger.pcap,1249,572810,26,13,0,1129,120,648,240912,603,332706,1.38,52.0,90,371.78,551.75,0.0,4252,2852,1.07,0.00,0.00,0.47,0.03,255.46,2.33,0.45,0.01,329.97,0.01,1
1-adworldwide.currency.pcap,837,350485,23,0,0,711,125,431,131278,415,220544,1.68,52,125,304.59,531.43,0.0,4252,2852,1.04,0.03,0.00,0.33,0.04,154.1,12.45,0.35,0.01,270.59,0.01,1
1-agun.f11.wikicountry.pcap,1032,486479,29,9,0,817,213,551,167786,495,319638,1.91,57,264,304.51,645.73,0.0,5652,2852,1.11,0.03,0.00,0.45,0.06,147.77,52.19,0.42,0.0,421.79,0.0,1
1-air.com.cr8andplay.breadcrumbs.pcap,8,1157,2,0,0,6,2,5,928,5,1037,1.12,40,125,185.6,207.4,0.01,404,404,1.0,5.44,5.45,0.17,0.5,0.17,0.5,0.17,0.5,0.17,0.5,1
1-air.com.smartandsmarty.SortItForKids.pcap,4,908,2,0,0,2,2,3,868,3,848,0.98,404,404,289.33,282.67,0.0,404,404,1.0,2.06,2.06,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
1-air.Join3Fruits.pcap,2,104,0,0,0,2,0,1,52,1,52,1.0,52,52,52.0,52.0,0.02,52,52,1.0,10.83,10.98,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
1-alaeddine.ouertani.bocajuniors.pcap,866,376206,21,0,0,725,140,446,151796,427,225619,1.49,60.0,121,340.35,528.38,0.0,4306,2888,1.04,0.00,0.04,0.45,0.03,218.72,10.2,0.47,0.01,342.01,0.01,1
1-an.Desc.pcap,795,374694,22,0,0,683,112,407,156624,390,218878,1.4,60,149.0,384.83,561.23,0.0,4252,2852,1.04,0.02,0.00,0.55,0.03,286.75,2.49,0.6,0.01,474.77,0.01,1
1-app.indobrain.islamic.content.pcap,1719,1136918,27,0,0,1605,113,808,167652,955,982966,5.86,52.0,1452,207.49,1029.28,0.0,5652,1500,0.85,0.01,0.00,0.56,0.02,116.51,0.62,0.76,0.01,943.22,0.01,1
1-app.numerivincenti.pcap,1110,448612,41,2,0,901,208,565,116538,563,333982,2.87,60,214,206.26,593.22,0.0,2852,2852,1.0,0.04,0.00,0.39,0.02,104.41,4.04,0.45,0.0,377.58,0.0,1
1-app.tresette.pcap,787,358498,22,1,0,654,133,408,149373,381,209933,1.41,60.0,149,366.11,551.01,0.0,5652,2948,1.07,0.00,0.05,0.41,0.08,195.15,87.77,0.45,0.01,372.47,0.01,1
1-appvillage.sikhguruswallpapers.pcap,4804,811993,20,444,0,4681,123,2451,492771,2359,321160,0.65,60,52,201.05,136.14,0.01,4306,2888,1.04,0.40,0.37,0.39,0.02,136.47,0.57,0.35,0.01,52.46,0.01,1
