apkNum,totalPkts,totalPktSize,totalBytesIn,medPktsIn,medPktsOut,avgPktsIn,avgPktSize,maxOutPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgSizepktFlowTCPOut,Result
1-in.lustra.vidyapati,776,313892,121670,62.0,149.0,296.76,0.0,4209,1.09,0.03,0.0,34.59,0.37,282.25,1
0-com.quick.world.news,133991,114015746,4002545,52.0,1500.0,71.13,0.0,7052,0.72,0.02,0.0,1.92,0.34,489.27,0
1-com.anddroidphonix.SpicySMS,1320,636183,179544,52.0,404.0,262.11,0.0,4252,1.06,0.0,0.04,37.51,0.57,570.48,1
0-com.radioamfmCanadaonlineradio.K106CHWYFMWeyburn1067FMRadioFMOnlineK106CHWYFMWeyburn1067FM,6911,5438655,316748,113.0,1516.5,425.9500000000001,0.0,8937,1.65,0.06,0.06999999999999999,28.9,1.3,1532.08,0
0-com.workout.danceaerobics,82,13727,4152,156.0,152.0,250.22,0.04,739,2.58,0.05,0.08,0.75,1.78,272.09000000000003,0
0-com.fitivity.soccer_dribbling,92,18828,6800,166.0,162.0,351.32,0.03,1591,3.0700000000000003,0.06,0.04,119.52,1.12,251.46,0
1-com.marinelifelivewallpaper.seafish,17366,2324627,1700802,60.0,52.0,190.61,0.01,1452,1.06,0.0,0.0,49.17,0.25,16.13,1
1-com.action.movies.quiz,827,386190,163202,61.0,149.0,379.54,0.0,4306,1.08,0.24,0.0,64.36,0.34,249.59,1
1-com.ldroid.santa,180,37750,12370,52.0,60.0,118.94,0.0,1452,1.37,0.0,0.1,0.25,0.36,200.63,1
0-com.gzl.stickman.adventure.game,3687,3076350,136650,118.0,1602.5,145.23000000000005,0.01,2968,1.75,0.02,0.0,3.54,1.62,2113.9700000000007,0
0-com.AmexApp,540,299816,35691,52.0,1470.0,139.96,0.0,1278,0.89,0.02,0.0,0.05,0.72,789.06,0
